Year,Month,Day,Hour,Minute,Second,Millisecond,Instance,DomainInstance,Engine Coolant Temperature (degC), Engine Total Hours Of Operation(hours), Engine Speed(RPM), Engine Oil Pressure(kPa),Battery Power Input(V), Generator Average LineToLine AC RMS Voltage(V), Generator Average AC Frequency(Hz),timeStamp
2018,02,09,01,13,13,434,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,488.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138793
2018,02,09,01,13,14,447,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138794
2018,02,09,01,13,15,462,37,1,82.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138795
2018,02,09,01,13,16,474,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,488.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138796
2018,02,09,01,13,17,488,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138797
2018,02,09,01,13,18,502,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138798
2018,02,09,01,13,19,516,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138799
2018,02,09,01,13,20,531,37,1,82.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138800
2018,02,09,01,13,21,545,37,1,82.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,488.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138801
2018,02,09,01,13,22,558,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138802
2018,02,09,01,13,23,572,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138803
2018,02,09,01,13,24,588,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138804
2018,02,09,01,13,25,602,37,1,82.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.394573211669922000000,1518138805
2018,02,09,01,13,26,616,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138806
2018,02,09,01,13,27,629,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138807
2018,02,09,01,13,28,643,37,1,82.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138808
2018,02,09,01,13,29,657,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138809
2018,02,09,01,13,30,671,37,1,82.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138810
2018,02,09,01,13,31,685,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,488.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138811
2018,02,09,01,13,32,699,37,1,82.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138812
2018,02,09,01,13,33,713,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138813
2018,02,09,01,13,34,726,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.496128082275391000000,1518138814
2018,02,09,01,13,35,740,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138815
2018,02,09,01,13,36,754,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.496128082275391000000,1518138816
2018,02,09,01,13,37,768,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.496128082275391000000,1518138817
2018,02,09,01,13,38,783,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138818
2018,02,09,01,13,39,796,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138819
2018,02,09,01,13,40,810,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,488.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138820
2018,02,09,01,13,41,824,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138821
2018,02,09,01,13,42,840,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.496128082275391000000,1518138822
2018,02,09,01,13,43,853,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.394573211669922000000,1518138823
2018,02,09,01,13,44,867,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,488.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138824
2018,02,09,01,13,45,882,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.394573211669922000000,1518138825
2018,02,09,01,13,46,895,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138826
2018,02,09,01,13,47,909,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138827
2018,02,09,01,13,48,923,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,468.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138828
2018,02,09,01,13,49,936,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138829
2018,02,09,01,13,50,952,37,1,81.000000000000000000000,560.750000000000000000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138830
2018,02,09,01,13,51,965,37,1,81.000000000000000000000,560.750000000000000000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138831
